method_name                                                                                         	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240125_175029__courtyard__results__num_matched10__maxframelookahead0__760p__unified_disk          	                          38	                                  177	                          16.799  	0.1 / 7.7                    	0.3 / 11.5                    	0.4 / 12.7           	                                          16.3055 	                                   139.949  	                        152	                         121	                           31	0.1 / 0.3                       	0.3 / 0.7                       	0.2 / 0.2                    	            0.00403285 	0.5 / 0.8                                	0.3 / 0.3                       	               1.03516 	                           0.980202	                   0.00713396 	                     13.3884  	                       2.45313  	              15.8415  	                 16	                       7207	3.0 / 4.0                     	0.5 / 0.6                           	0.1 / 0.1                    	0.3 / 0.4                                	0.1 / 0.1                       	            37.0804 	              40.0953 	            41.1003 	            41.6028  	             41.854  	                  2.61888   	                 4.25353    	                 3.24926    	                10.1218    	                 233.136
20240125_175029__courtyard__results__num_matched10__maxframelookahead0__760p__unified_lightglue     	                          38	                                  177	                          40.5206 	0.2 / 11.4                   	0.7 / 19.0                    	0.8 / 22.2           	                                          17.561  	                                    95.794  	                        160	                         127	                           33	0.2 / 2.6                       	0.5 / 9.7                       	2.6 / 3.1                    	            0.0455034  	0.6 / 1.6                                	18.6 / 18.6                     	               3.16699 	                           3.0721  	                   0.0428405  	                     16.1998  	                       2.28949  	              18.4893  	                 20	                       3481	3.0 / 3.8                     	0.5 / 0.6                           	31.4 / 40.7                  	2.0 / 18.3                               	5.1 / 11.6                      	             0      	               0      	             0      	             0       	              0      	                  8.18789   	                 7.04326    	                 8.46298    	                23.6943    	                 230.814
20240125_175029__courtyard__results__num_matched10__maxframelookahead0__760p__unified_loftr         	                          38	                                  177	                          16.8946 	0.2 / 2.6                    	0.7 / 9.9                     	0.7 / 10.0           	                                          16.082  	                                    23.6897 	                        124	                          97	                           27	0.2 / 0.5                       	0.6 / 1.9                       	0.1 / 0.1                    	            0.00915408 	0.2 / 0.4                                	1.0 / 1.0                       	               1.2472  	                           1.16693 	                   0.0414436  	                     11.0589  	                       2.25626  	              13.3152  	                 13	                       6035	3.0 / 3.9                     	0.4 / 0.5                           	0.3 / 0.5                    	0.1 / 1.1                                	0.3 / 0.6                       	            17.9633 	              26.003  	            30.2503 	            32.2304  	             33.2205 	                  0.955439  	                 0.967584   	                 0.972927   	                 2.89605   	                 103.458
20240125_175029__courtyard__results__num_matched10__maxframelookahead0__760p__unified_sift          	                          38	                                  177	                          19.0535 	0.4 / 1.6                    	1.3 / 3.6                     	1.3 / 3.8            	                                           9.37661	                                    20.0952 	                        122	                         111	                           11	0.4 / 0.7                       	1.3 / 2.8                       	0.3 / 0.3                    	            0.00641274 	0.8 / 1.1                                	0.3 / 0.5                       	               0.723441	                           0.690486	                   0.0163436  	                      4.96277 	                       0.718443 	               5.68121 	                 12	                       2000	4.0 / 4.7                     	0.2 / 0.2                           	0.0 / 0.1                    	0.1 / 0.1                                	0.0 / 0.0                       	            29.8612 	              30.8919 	            31.2354 	            31.4072  	             31.4931 	                  0.33436   	                 0.329968   	                 0.323768   	                 0.988191  	                  82.4971
20240125_175029__courtyard__results__num_matched10__maxframelookahead10__760p__unified_lightglue    	                          38	                                  347	                          10.5739 	0.6 / 22.7                   	1.4 / 27.0                    	1.5 / 34.7           	                                          13.4743 	                                    95.392  	                        238	                         154	                           84	0.2 / 5.2                       	0.7 / 14.5                      	33.6 / 37.0                  	            0.0239654  	1.2 / 11.9                               	20.0 / 20.1                     	               3.42466 	                           3.35641 	                   0.0293913  	                     10.6733  	                       1.86331  	              12.5366  	                 37	                       5292	3.0 / 3.9                     	0.5 / 0.6                           	35.5 / 33.8                  	46.6 / 53.2                              	20.6 / 20.1                     	             0      	               0      	             0      	             0       	              0      	                  7.15319   	                 7.25209    	                 7.13162    	                21.537     	                 187.555
20240125_175029__courtyard__results__num_matched10__maxframelookahead10__760p__unified_sift         	                          38	                                  347	                          10.6197 	0.4 / 2.2                    	1.4 / 4.6                     	1.5 / 4.7            	                                           8.92529	                                    23.5293 	                        144	                         132	                           12	0.4 / 0.8                       	1.3 / 3.1                       	0.5 / 0.7                    	            0.0148835  	1.3 / 2.5                                	0.6 / 1.0                       	               2.0297  	                           1.98749 	                   0.0211282  	                      5.44046 	                       0.865744 	               6.3062  	                 29	                       2257	4.0 / 4.4                     	0.2 / 0.2                           	0.4 / 0.5                    	0.9 / 1.6                                	0.6 / 1.0                       	            29.0928 	              49.2619 	            61.4621 	            68.889   	             72.6024 	                  0.584622  	                 0.58336    	                 0.574964   	                 1.74304   	                  80.2937
20240125_175029__courtyard__results__num_matched10__maxframelookahead10__760p__unified_superglue    	                          38	                                  347	                          10.826  	0.6 / 25.5                   	1.5 / 29.2                    	1.6 / 37.3           	                                          13.4741 	                                    89.4689 	                        242	                         150	                           92	0.2 / 8.9                       	0.7 / 14.4                      	32.8 / 35.4                  	            0.726521   	0.7 / 16.2                               	19.5 / 22.1                     	               3.24699 	                           3.15549 	                   0.0558207  	                     10.1594  	                       1.8202   	              11.9796  	                 24	                       3384	4.0 / 4.1                     	0.5 / 0.6                           	47.2 / 47.2                  	29.6 / 52.8                              	21.9 / 21.7                     	             0      	               0      	             0      	             0       	              0      	                  2.93659   	                 2.94453    	                 2.94185    	                 8.82319   	                 166.824
20240125_175029__courtyard__results__num_matched5__maxframelookahead0__760p__unified_disk           	                          38	                                  127	                          10.8703 	0.1 / 7.7                    	0.3 / 10.7                    	0.3 / 12.4           	                                          32.4983 	                                   112.839  	                        110	                          84	                           26	0.1 / 1.2                       	0.2 / 2.2                       	0.2 / 0.2                    	            0.0146129  	0.3 / 0.5                                	12.6 / 14.4                     	               1.62162 	                           1.53078 	                   0.023874   	                     26.4546  	                       4.83255  	              31.2872  	                 14	                       6794	3.0 / 3.8                     	0.4 / 0.5                           	0.1 / 0.1                    	0.2 / 0.3                                	0.1 / 0.1                       	            33.1253 	              35.3554 	            36.0987 	            36.4704  	             36.6563 	                  1.88441   	                 1.87139    	                 1.83631    	                 5.59222   	                 225.916
20240125_175029__courtyard__results__num_matched5__maxframelookahead0__760p__unified_lightglue      	                          38	                                  127	                          10.9922 	0.2 / 10.6                   	0.6 / 14.7                    	0.6 / 18.2           	                                          24.379  	                                    67.0986 	                        116	                          95	                           21	0.1 / 5.1                       	0.4 / 8.9                       	0.8 / 3.5                    	            9.49159    	0.5 / 7.9                                	10.9 / 13.1                     	               2.21833 	                           2.13004 	                   0.0482392  	                     10.7738  	                       1.92565  	              12.6994  	                 20	                       3459	3.0 / 3.6                     	0.5 / 0.6                           	13.9 / 21.6                  	2.4 / 17.9                               	5.5 / 5.9                       	             0      	               0      	             0      	             0       	             17.2341 	                  4.09008   	                 4.10629    	                 4.11061    	                12.3071    	                 166.969
20240125_175029__courtyard__results__num_matched5__maxframelookahead0__760p__unified_loftr          	                          38	                                  127	                          10.9194 	0.2 / 1.7                    	0.6 / 6.8                     	0.6 / 6.8            	                                          39.7084 	                                    21.3809 	                         95	                          79	                           16	0.1 / 0.5                       	0.6 / 3.3                       	0.1 / 0.2                    	            0.00613308 	0.3 / 0.3                                	0.1 / 0.1                       	               0.813826	                           0.77169 	                   0.00712824 	                     10.2037  	                       2.22239  	              12.4261  	                 17	                       6140	3.0 / 3.8                     	0.4 / 0.5                           	0.1 / 0.1                    	0.2 / 0.3                                	0.1 / 0.1                       	            40.843  	              43.1793 	            43.9581 	            44.3475  	             44.5421 	                  1.06389   	                 1.01734    	                 1.03322    	                 3.11456   	                 117.812
