method_name                                                                                   	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240419_153409__courtyard__results__num_matched5__maxframelookahead10__760p__unified_roma    	                          38	                                  345	                           9.50227	0.2 / 33.6                   	0.7 / 44.2                    	0.7 / 52.5           	                                           871.19 	                                    237.737 	                        314	                         205	                          109	0.1 / 15.5                      	0.2 / 24.1                      	23.5 / 16.9                  	             0.280381  	0.7 / 29.2                               	40.0 / 41.0                     	                4.83216	                           3.63406 	                    0.0866964 	                      170.722 	                         54.9152	               225.637 	                 35	                       6228	3.0 / 3.0                     	0.1 / 0.1                           	4.7 / 17.8                   	3.6 / 39.2                               	4.0 / 19.4                      	             36.762 	               38.389 	             40.8626	              54.2641	              61.3426	                   11.2635  	                   11.266   	                   11.2575  	                   33.787  	                 1417.96
20240419_153409__delivery_area__results__num_matched5__maxframelookahead10__760p__unified_roma	                          44	                                  403	                          10.1694 	0.1 / 40.3                   	0.2 / 43.7                    	0.2 / 57.5           	                                           736.834	                                    224.123 	                        253	                         223	                           30	0.0 / 0.3                       	0.0 / 5.0                       	0.0 / 0.0                    	             0.0178623 	0.1 / 2.8                                	0.3 / 26.3                      	                5.8816 	                           4.35137 	                    0.0477619 	                      198.225 	                         62.913 	               261.138 	                 23	                      11660	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.3                    	0.0 / 1.3                                	0.0 / 0.3                       	             49.0316	               49.6126	             49.8063	              51.294 	              51.7834	                    2.8317  	                    2.77862 	                    2.77884 	                    8.38926	                 1286.49
20240419_153409__electro__results__num_matched5__maxframelookahead10__760p__unified_roma      	                          45	                                  455	                          10.4627 	5.2 / 52.2                   	20.6 / 52.2                   	49.0 / 70.4          	                                           799.061	                                    229.65  	                        241	                         205	                           36	0.1 / 14.4                      	0.1 / 23.7                      	16.1 / 25.8                  	          1297.22      	3.9 / 28.8                               	22.6 / 29.6                     	                6.51289	                           5.27921 	                    0.0448792 	                      140.974 	                         51.8414	               192.815 	                 37	                       1124	3.0 / 3.0                     	0.2 / 0.3                           	0.4 / 8.3                    	21.5 / 38.0                              	15.7 / 25.3                     	             27.9162	               31.1665	             32.2499	              34.5968	              37.8086	                    1.71249 	                    1.73161 	                    1.72937 	                    5.17357	                 2573.59
20240419_153409__facade__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          76	                                  773	                          18.1341 	0.1 / 21.2                   	0.1 / 22.3                    	0.1 / 30.1           	                                          2695.21 	                                    634.958 	                        685	                         612	                           73	0.1 / 9.4                       	0.1 / 11.1                      	10.6 / 21.5                  	           405.542     	0.4 / 19.3                               	3.5 / 23.4                      	               34.1463 	                          29.882   	                    0.11198   	                      551.879 	                        177.49  	               729.369 	                 61	                      54397	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.5                    	0.1 / 3.3                                	0.1 / 0.5                       	             71.8806	               75.3312	             76.4814	              77.0565	              78.6452	                   45.379   	                   45.4287  	                   45.4695  	                  136.277  	                 4767.05
20240419_153409__kicker__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          31	                                  279	                           8.03017	0.2 / 27.9                   	0.2 / 25.5                    	0.3 / 33.7           	                                           554.18 	                                    149.755 	                        211	                         177	                           34	0.1 / 1.0                       	0.1 / 1.2                       	0.1 / 0.1                    	             0.0142729 	0.1 / 0.2                                	0.1 / 0.1                       	                3.82362	                           2.68059 	                    0.0380123 	                      138.14  	                         43.1754	               181.315 	                 31	                      18227	3.0 / 3.0                     	0.2 / 0.3                           	0.0 / 0.0                    	0.0 / 0.1                                	0.0 / 0.0                       	             95.4308	               98.1723	             99.0862	              99.5431	              99.7715	                    6.53843 	                    6.60521 	                    6.63445 	                   19.7782 	                  955.44
20240419_153409__meadow__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          15	                                   97	                           4.68225	0.3 / 8.5                    	0.4 / 39.5                    	0.7 / 42.0           	                                           149.219	                                     48.4122	                         82	                          77	                            5	0.2 / 0.7                       	0.2 / 34.6                      	0.1 / 0.2                    	             0.00478148	0.4 / 42.0                               	0.1 / 30.8                      	                1.23997	                           0.821674	                    0.0256472 	                       36.0498	                         10.6362	                46.686 	                 15	                       1665	3.0 / 3.0                     	0.2 / 0.3                           	0.1 / 2.2                    	15.7 / 51.7                              	0.0 / 30.0                      	             63.8712	               65.5485	             66.1076	              66.3871	              66.5269	                    0.359486	                    0.352348	                    0.341015	                    1.05294	                  266.477
20240419_153409__office__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          26	                                  215	                           6.48619	0.8 / 52.4                   	6.1 / 40.4                    	9.3 / 61.3           	                                           303.696	                                     92.5644	                        127	                         108	                           19	0.1 / 18.6                      	0.3 / 14.5                      	7.4 / 13.9                   	             0.0226824 	0.8 / 9.6                                	0.6 / 4.2                       	                2.72386	                           2.00123 	                    0.0745261 	                       74.9513	                         23.5739	                98.5253	                 22	                      10598	3.0 / 3.0                     	0.2 / 0.2                           	0.0 / 8.1                    	0.3 / 10.0                               	0.0 / 1.8                       	             70.7827	               76.7746	             78.7719	              79.7706	              80.2699	                    2.83327 	                    2.81844 	                    2.86629 	                    8.5181 	                  539.509
20240419_153409__pipes__results__num_matched5__maxframelookahead10__760p__unified_roma        	                          14	                                   85	                           4.2721 	0.1 / 22.0                   	0.4 / 18.1                    	0.5 / 26.7           	                                           139.935	                                     46.5909	                         65	                          63	                            2	0.1 / 0.7                       	0.1 / 1.1                       	0.1 / 0.2                    	             0.00339031	0.3 / 0.6                                	0.5 / 0.7                       	                1.19493	                           0.794644	                    0.00951147	                       54.7564	                         16.7711	                71.5275	                 14	                       5755	3.0 / 3.0                     	0.2 / 0.2                           	0.0 / 0.0                    	0.1 / 0.2                                	0.1 / 0.1                       	             90.1851	               96.074 	             98.037 	              99.0185	              99.5093	                    1.43367 	                    1.45867 	                    1.44911 	                    4.34154	                  283.992
20240419_153409__playground__results__num_matched5__maxframelookahead10__760p__unified_roma   	                          38	                                  373	                           9.45975	46.3 / 59.9                  	40.9 / 60.9                   	91.5 / 77.2          	                                           599.067	                                    170.822 	                        117	                         108	                            9	0.1 / 2.9                       	0.1 / 6.9                       	0.1 / 0.1                    	             0.0107644 	0.4 / 5.6                                	6.7 / 10.1                      	                3.77917	                           3.02702 	                    0.0479169 	                       76.0196	                         23.7443	                99.7639	                 35	                       2559	3.0 / 3.0                     	0.2 / 0.3                           	0.1 / 0.1                    	0.2 / 0.3                                	0.1 / 0.1                       	             77.7749	               86.3731	             89.2392	              90.6722	              91.3887	                    1.01486 	                    1.02004 	                    1.01656 	                    3.05156	                  914.793
20240419_153409__relief_2__results__num_matched5__maxframelookahead10__760p__unified_roma     	                          31	                                  259	                           7.37256	0.0 / 25.3                   	0.1 / 15.8                    	0.1 / 27.9           	                                           606.372	                                    175.889 	                        197	                         181	                           16	0.0 / 0.1                       	0.0 / 0.7                       	0.0 / 0.0                    	             0.0135844 	0.1 / 0.2                                	0.1 / 0.2                       	                3.20406	                           2.19761 	                    0.0137043 	                      190.409 	                         60.6451	               251.055 	                 31	                      15996	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.0                    	0.0 / 0.1                                	0.0 / 0.0                       	             97.171 	               98.8684	             99.4342	              99.7171	              99.8586	                    4.15015 	                    4.12562 	                    4.11209 	                   12.388  	                 1093.65
