CameraMaker,CameraModel,SensorDescription,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Acer,CE-5330,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CE-5430,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CE-6430,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2909,2187
Acer,CI-6330,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2862,2152
Acer,CI-6530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2871,2159
Acer,CI-8330,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3310,2489
Acer,CL-5300,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CP-8531,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3272,2460
Acer,CP-8660,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3302,2483
Acer,CR-5130,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2579,1939
Acer,CR-6530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2894,2176
Acer,CR-8530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3272,2460
Acer,CS-5530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CS-5531,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CS-6530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
Acer,CS-6531,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
Acer,CU-6530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
AgfaPhoto,Compact 100,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3647,2742
AgfaPhoto,Compact 102,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,Compact 103,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,DC-1030i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1033m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3647,2742
AgfaPhoto,DC-1033x,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1338i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1338sT,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-2030m,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,DC-302,"1/3"" (~ 4.8 x 3.6 mm)",4.8,3.6,1998,1502
AgfaPhoto,DC-500,"1/3"" (~ 4.8 x 3.6 mm)",4.8,3.6,2579,1939
AgfaPhoto,DC-530i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,DC-533,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,DC-600uw,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,2825,2124
AgfaPhoto,DC-630,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-630i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-630x,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-633x,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-633xs,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-730i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-733i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-733s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-735,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-735i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-738i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-830,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-830i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
AgfaPhoto,DC-8330i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-8338i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-833m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-8428s,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
AgfaPhoto,ePhoto 1280,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,964,725
AgfaPhoto,ePhoto 1680,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1264,950
AgfaPhoto,ePhoto CL18,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,632,475
AgfaPhoto,ePhoto CL30,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1095,823
AgfaPhoto,ePhoto CL30 Clik!,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1095,823
AgfaPhoto,ePhoto CL45,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1589,1195
AgfaPhoto,ePhoto CL50,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1264,950
AgfaPhoto,Optima 1,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 100,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3647,2742
AgfaPhoto,Optima 102,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 103,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,Optima 104,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 105,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
AgfaPhoto,Optima 1338mT,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
AgfaPhoto,Optima 1438m,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3647,2742
AgfaPhoto,Optima 3,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
AgfaPhoto,Optima 830UW,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,Optima 8328m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,sensor 505-D,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 505-X,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 530s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 830s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
