# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 28
0 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
1 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
2 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
3 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
4 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
5 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
6 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
7 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
8 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
9 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
10 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
11 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
13 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
14 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
15 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
16 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
17 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
18 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
19 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
20 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
21 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
22 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
23 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
26 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
27 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
28 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
29 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
30 SIMPLE_RADIAL 4056 3040 2388.6568257679855 2020.8165497085379 1544.4798983489866 0.12011818747090346 -0.21884852702892965
